"","session_id","id","x","y","counts","pa","key","dist2sq","rl_the_sq","rl_emp_sq"
"1","C017","55,-35","55","-35",0,0,"C017_55,-35",65.5293229756648,145.671286379761,135.237791670885
"2","C018","55,-35","55","-35",0,0,"C018_55,-35",65.5293229756648,145.671286379761,135.237791670885
"3","C019","55,-35","55","-35",0,0,"C019_55,-35",65.5293229756648,145.671286379761,135.237791670885
"4","C020","55,-35","55","-35",0,0,"C020_55,-35",65.5293229756648,145.671286379761,135.237791670885
"5","C021","55,-35","55","-35",0,0,"C021_55,-35",65.5293229756648,145.671286379761,135.237791670885
"6","C022","55,-35","55","-35",0,0,"C022_55,-35",65.5293229756648,145.671286379761,135.237791670885
"7","C023","55,-35","55","-35",0,0,"C023_55,-35",65.5293229756648,145.671286379761,135.237791670885
"8","C024","55,-35","55","-35",0,0,"C024_55,-35",65.5293229756648,145.671286379761,135.237791670885
"9","C025","55,-35","55","-35",0,0,"C025_55,-35",65.5293229756648,145.671286379761,135.237791670885
"10","C026","55,-35","55","-35",0,0,"C026_55,-35",65.5293229756648,145.671286379761,135.237791670885
"11","C027","55,-35","55","-35",0,0,"C027_55,-35",65.5293229756648,145.671286379761,135.237791670885
"12","C028","55,-35","55","-35",0,0,"C028_55,-35",65.5293229756648,145.671286379761,135.237791670885
"13","C029","55,-35","55","-35",0,0,"C029_55,-35",65.5293229756648,145.671286379761,135.237791670885
"14","C030","55,-35","55","-35",0,0,"C030_55,-35",65.5293229756648,145.671286379761,135.237791670885
"15","C031","55,-35","55","-35",0,0,"C031_55,-35",65.5293229756648,145.671286379761,135.237791670885
"16","C032","55,-35","55","-35",0,0,"C032_55,-35",65.5293229756648,145.671286379761,135.237791670885
"17","T048","55,-35","55","-35",0,0,"T048_55,-35",65.5293229756648,145.671286379761,135.237791670885
"18","T049","55,-35","55","-35",0,0,"T049_55,-35",65.5293229756648,145.671286379761,135.237791670885
"19","T050","55,-35","55","-35",0,0,"T050_55,-35",65.5293229756648,145.671286379761,135.237791670885
"20","T051","55,-35","55","-35",0,0,"T051_55,-35",65.5293229756648,145.671286379761,135.237791670885
"21","T052","55,-35","55","-35",0,0,"T052_55,-35",65.5293229756648,145.671286379761,135.237791670885
"22","T053","55,-35","55","-35",0,0,"T053_55,-35",65.5293229756648,145.671286379761,135.237791670885
"23","T054","55,-35","55","-35",0,0,"T054_55,-35",65.5293229756648,145.671286379761,135.237791670885
"24","T055","55,-35","55","-35",0,0,"T055_55,-35",65.5293229756648,145.671286379761,135.237791670885
"25","T056","55,-35","55","-35",0,0,"T056_55,-35",65.5293229756648,145.671286379761,135.237791670885
"26","T057","55,-35","55","-35",0,0,"T057_55,-35",65.5293229756648,145.671286379761,135.237791670885
"27","T058","55,-35","55","-35",0,0,"T058_55,-35",65.5293229756648,145.671286379761,135.237791670885
"28","T059","55,-35","55","-35",0,0,"T059_55,-35",65.5293229756648,145.671286379761,135.237791670885
"29","T061","55,-35","55","-35",0,0,"T061_55,-35",65.5293229756648,145.671286379761,135.237791670885
"30","T062","55,-35","55","-35",0,0,"T062_55,-35",65.5293229756648,145.671286379761,135.237791670885
